impugn,v.打击
incommode,v.妨碍
inculcate,v.谆谆劝导
indemnify,v.赔偿
indenture,n.契约
indorse,"v.(=endorse)签名于票据等的背面,认可"
infix,"vt.使...钻进,让...插进n.插入词,中缀"
inhume,"vt.埋葬,把...土葬"
innuendo,"n.暗讽(的话),影射(的话)vi.影射vt.旁敲侧击地表达,暗示"
interchange,vt.(指两人等)交换v.相互交换
interject,"vt.插嘴,突然插入"
intrust,"vt.信托,交托,信赖"
inveigh,"vi.猛烈抨击,痛骂,漫骂"
inveigle,v.诱骗
irk,"vt.使厌倦,使苦恼"
irrupt,vi.突然冲入
jag,"n.尖齿,一部分,狂欢vt.使成缺口,使成锯齿状vi.刺,戳,颠簸的移动"
jaunt,"n.远足,短途旅游vi.远足,短途旅游"
jawbone,"n.颚骨,下颚骨,信用v.赊买"
jetty,"n.防波堤,码头"
jig,"n.快步舞,快步舞曲,带锤子的钓钩,夹具v.乱跳,加工用钩钓鱼,选筛"
jimmy,n.铁撬vt.用铁撬撬开
jive,"n.摇摆乐,隐语,摇摆舞vi.跳摇摆舞,哄骗adj.假的"
jockey,"n.职业赛马骑师,(机器的)操作员"
josh,"v.戏弄,说笑n.无恶意的戏谑,玩笑"
kennel,"n.狗窝,狗屋,阴沟vt.置于狗窝,宿于狗舍vi.进狗窝"
kibitz,"vi.乱出主意,多管闲事"
knurl,n.硬节
lam,"v.鞭打,潜逃n.潜逃"
lambaste,"vt.痛打,严责"
leech,"n.水蛭,吸血鬼,榨取他人利益的人vt.(为治疗)以水蛭吸血vi.依附并榨取他人"
lesion,"n.损害,身体上的伤害"
lichen,"n.[植]青苔,地衣,苔藓"
ligature,n.绷带
loco,"n.疯草病,疯子,火车头vt.用疯草毒害adj.发疯的,发狂的"
lollygag,v.<美口> 浪费时间(=lallygag)
lop,"vt.修剪,砍伐,斩vi.下垂,闲荡adj.垂下的n.砍下的部分,垂耳兔"
loth," (=loath)adj.憎恶的,勉强的"
lute,n.琵琶
macerate,v.浸软
machinate,"v.图谋,策划"
mambo,"n.曼博,曼博音乐(源于古巴黑人音乐)vi.跳曼博"
masticate,v.咀嚼
maunder,"vi.唠叨地讲,徘徊"
mechanize,v.机械化
mew,"n.厩舍,海鸥vi.换羽毛n.鹰笼,巢,隐匿处vt.把...关进笼子"
mewl,vi.啜泣
mike,"n.麦克风,微克 Mike 迈克(男子名)"
mislay,v.放错
miter,n.主教法冠
molder,"vi.腐朽,崩溃,分裂vt.使腐朽n.铸工,制模工"
mollycoddle,"n.娇惯的男人,懦夫vt.溺爱,娇生惯养"
molten,v.熔化adj.熔铸的
muss,n.混乱vt.使混乱
nab,"vt.<口>捉住,逮捕,抢夺"
nettle,n.荨麻
niggle,"vi.为琐事费心,拘泥小节vt.小气地给..."
nobble,"vt.(暗中破坏)使其不能取胜,诈骗"
nosh,"n.<俚>小吃,点心v.吃点心"
obfuscate,"vt.使模糊,使迷乱"
obligate,vt.使负义务adj.有责任的
obviate,"vt.消除,排除(危险、障碍等),回避,预防,避免"
occult,"adj.神秘的,玄妙的,不可思议的,超自然的v.掩蔽,隐藏n.神秘之事"
oppugn,"vt.责难,反驳,质疑,抗击"
palisade,n.木栅vt.用栅栏围护
palliate,v.减轻
palpitate,v.跳动
palsy,n.瘫痪
pellet,n.小球
personate,"vt. 扮演, 伪装, 假冒, 拟人化\na. 假装的, 伪态的, 假面状的"
piggyback,"adj.骑在背肩上的adv.在背上,在肩上"
plumb,"n.铅锤,铅弹adj.垂直的vt.使垂直,用铅增加重量,探测vi.垂直"
plume,n.羽毛
plump,"adj.圆胖的,丰满的,鼓起的vt.突然放下,使丰满,使鼓起vi.变丰满,鼓起adv.使发胖(或鼓起)的东西,鼓鳃物,沉重(或突然)坠落,沉重地,突然地,坦白地n.扑通声"
plunk,"vt.砰砰地弹,砰地投掷vi.砰砰作响,支持n.使劲投掷,扑通声,扑通落下adv.发出砰声"
poniard,"n.短剑,匕首v.以匕首刺"
pother,n.喧闹v.烦恼
pouch,"n.小袋,烟草袋,钱袋,育儿袋vt.把...装入袋中,使成袋状vi.成袋状"
prate,v.空谈n.空谈
preen,"vt.(鸟)用嘴整理,打扮,赞扬vi.把(自己)打扮漂亮"
prink,"v.化妆,打扮"
proffer,v.提供n.提供
promulgate,"vt.发布,公布,传播"
pussyfoot,"vi.偷偷走路,轻轻地走,谨慎行事"
putter,"n.置放者,(高尔夫球)轻击棒vi.闲荡.行为懒散,vt.混过"
ram,"n.公羊,撞锤;vi.猛击,撞;vt.猛击,填塞,灌输;n. Random access memory,随机访问存储器"
ramify,"v.(使)分枝,(使)分叉,(使)成网状"
ramp,"n.斜坡,坡道,敲诈vi.狂跳乱撞,敲诈,蔓延vt.使有斜面,敲诈"
rampage,"n.乱闹,暴跳vi.发怒,乱闹,狂暴"
rampart,"n.垒,壁垒,城墙vt.用壁垒围绕,防卫"
rankle,"vi.溃烂,发炎,怨恨vt.激怒"
ransack,"vt.到处搜索,掠夺,洗劫"
rapture,"n.全神贯注,兴高采烈,欢天喜地vt.使狂喜"
rarefy,v.稀薄
rasp,"n.粗锉刀,擦菜板,刺耳声,激怒人的举动vt.用粗锉刀锉,用擦菜板擦碎,粗声粗气地说vi.粗锉,锉磨,发刺耳声"
rawhide,"n.生牛皮,<美>生牛皮鞭vt.用生牛皮鞭抽打adj.生牛皮的"
razz,"n.<美俚>嘲弄,戏弄vt.冷笑,嘲弄"
recoil,"n.畏缩,后退,弹回,反作用,后座力vi.退却,畏缩,弹回,撤退,反冲"
recuperate,v.复原
redound,v.有助于
refigure," 重新描绘, 重新塑造"
regale,v.享受
