conniption,n. 发作性歇斯底里
connivance,"n.假装不见,纵容,默许"
consanguinity,"n.血亲,血缘,亲密关系"
consilience,
consonance,"n.一致,调和,[乐]协和音程,[韵]和音"
consternation,"n.惊愕,恐怖,惊惶失措"
constrict,v.压缩
constringe,"vt.使收缩,使收敛,压缩"
contextualize,vt.将(音素、单词等)置于上下文中研究 (通过介绍来龙去脉) 使(事件、 活动等) 溶入背景
continence,"n.自制,克制,节欲(尤指禁欲)"
contralto,n.(最低的)女低音
controvert,"vt.议论,辩论vi.参加辩论"
corporeal,"adj.肉体的,物质的,有形的"
corpuscle,"n.血球,<物理>微粒"
corral,n.畜栏vt.关进畜栏
countenance,"n.面容,脸色,支持vt.支持,赞助"
countermand,"vt.取消,撤消,下反对命令召回n.反对命令,取消"
countervail,"vt.补偿,抵销vi.抵销"
coy,"adj.腼腆的,怕羞的,卖弄风情的"
crabbed,"adj.乖戾的,易怒的,难懂的,潦草的"
crackle,v.发劈啪声
crackpot,adj.想入非非的；不切实的
crackup,n.撞坏(碰撞；失去控制；崩溃)
crafty,"adj.狡诈的,诡计多端的,善于骗人的"
cranium,n.头盖骨；颅骨；脑壳
crass,"adj.粗鲁的,愚钝的,非常的,粗糙的"
creak,n.辗轧声；嘎吱声
creaky,adj.叽叽嘎嘎的；不发辗的
crick,n.痛性痉挛
crocus,n.番红花属；番红花；藏红花；磨粉
croquet,n.槌球戏；循环球戏
crotchety,"adj.有怪想的,反复无常的,想入非非的"
crummy,adj.肮脏的；破旧的；很差的；微不足道的；寒酸的；不值钱的
cryptic,"adj.秘密的,含义模糊的,神秘的,隐藏的"
cubbyhole,n. 舒适的小窝
cur,"n.恶犬（尤指杂种狗）, 卑鄙小人, 胆小鬼"
dandy,"n.花花公子adj.服装华丽的,极好的,上等的"
dank,"adj.透水的,潮湿的,阴湿寒冷的"
dapper,"adj.整洁的,整齐的,短小精悍的,小巧玲珑的,潇洒的,衣冠楚楚的"
dashing,adj.时髦的；冲劲足的
dawdle,"v.游手好闲,混日子"
de jure,"[法] 法律上, 按照法律的, 合法的"
de rigueur,a. 社交礼节上需要的
debar,"v.阻止,禁止,排除,剥夺"
debonair,"adj.殷勤的,高兴的,快活的,温文尔雅的"
decadence,n.颓废
declaim,"v.巧辩,演讲,高声朗读"
decommission,vt.使退役
decree,"n.法令,政令,教令,天命,判决v.颁布"
deducible,adj.可推论的
defunct,adj.死了的
denizen,n.居民
denouement,"n.(小说、戏剧等的)结尾, 结局"
deprecate,"vt.抗议,不赞成,抨击,反对,藐视,轻视"
depredation,"n.掠夺,破坏痕迹"
derelict,adj.被抛弃了的n.遗弃物
dereliction,"n.无主,抛弃物"
descry,"vt.察看,发现,远远看到"
desiccate,"vt.使完全变干,干贮(食物等)vi.变干"
desideratum,"n. 所愿望之物, 迫切需要之物"
despoil,"vt.夺取,掠夺"
despondent,adj.沮丧的
détente,n.(国际关系等的)缓和
devoid,"adj.全无的,缺乏的"
dexterous,"adj.灵巧的,惯用右手的"
dilatory,"adj.拖拉的,不慌不忙的"
diminution,"n.减少,减低,缩小"
diminutive,"adj.小的,指小的,小型的n.小的人,指小辞,指小词,爱称"
din,"n.喧嚣v.絮絮不休地说,喧闹"
dingbat,n.笨蛋；钱；容易投掷的东西；主意
dingy,"adj.暗黑的,邋遢的"
disaffected,"adj.抱不平的,有叛意的,不服的"
disclaim,"v.放弃,弃权,拒绝"
discombobulated,adj 被混乱的；被困惑的
disconsolate,"adj.孤独的,郁郁不乐的"
discordant,"adj.不调和的,不和的,[乐]不悦耳的,不和谐的"
discursive,"adj.散漫的,不得要领的"
disembark,"v.(使)起岸,(使)登陆"
disfigure,"v.损伤外貌,使变丑"
disjunction,"n.分离,分裂,折断"
dislodge,v.驱逐
dispassionate,"adj.冷静的,不带感情的,平心静气的"
dispirited,adj.沮丧的
disport,"v.玩耍,娱乐n.娱乐"
dispossess,"vt.霸占,(对土地、房屋等的)剥夺,使失去,逐出"
disputatious,adj.好争辩的
disquiet,"n.忧虑,不安vt.使不安,使忧虑"
disquieting,"adj.令人不安的,令人忧虑的"
disquietude,"n.不安,忧虑"
disquisition,"n.专题论文, 学术演讲,研究"
dissemble,"v.掩饰,假装不知道"
dissimulate,"v.掩饰,假装,装糊涂"
dissolute,"adj.放荡的,风流的,肆意挥霍的"
dissolution,"n.分解,解散"
dissonance,"n.不一致,不调和,不谐和音"
distrait,adj.心不在焉的
distraught,adj.发狂的
diva,n.歌剧中的首席女主角
divan,n.会议室；国务会议；沙发床；咖啡馆；吸烟室；诗集
doctrinaire,n.教条主义者
dodder,v.步履不稳；蹒跚
doddering,"adj.震颤的,蹒跚的"
doff,"vt.脱,废除,丢弃"
dogged,"adj.顽固的,顽强的"
dolt,"n.呆子,傻瓜,笨蛋"
doltish,adj. 愚笨的
domicile,"n.住所,住宅v.(使)定居"
domineer,v.压制
dote,"vi.昏聩,溺爱"
dour,"adj.不爱讲话的,阴沉的,顽强的,严厉的"
dowager,"n.继承亡夫爵位(或遗产的)遗孀,贵妇"
dowdy,"adj.衣衫褴褛的,寒酸的,懒散的n.懒散的女人,邋里邋遢的女人"
dowel,n.木钉；暗榫；合板钉
down-at-heel,adj. 用旧的; 衣着褴褛的
downcast,"adj.气馁的,悲哀的,沮丧的,(眼睛)向下看的"
drab,"adj.土褐色的,单调的"
drafty,adj.通风良好的
drawl,"v.懒洋洋地说,做作而慢慢地说n.懒洋洋的说话态度"
drivel,"vi.淌口水,说傻话vt.胡说n.流口水,胡言乱语,糊涂话"
dumpy,adj.矮胖的；短而厚的；肮脏破旧的；下流的
duplicitous,a. 奸诈的；双重的；搞两面派的
dyslexia,n.[医] 诵读困难
dyspepsia,n.消化不良
dyspeptic,"adj. 消化不良的, 胃弱的, 脾气暴躁的; n. 患消化不良的人"
ecclesiastic,"n.神职者,教会,牧师adj.神职者的,牧师的,教会的"
éclair,n.奶油卷
éclat,n. 辉煌（或巨大）成就，极大成功;炫耀，令人眼花缭乱的显示
ecliptic,"n.[天]黄道adj.黄道的,日(或月)食的,蚀的"
eczema,n.湿疹
educe,"vt.得出,导出,引出,唤起,使显出"
eerie,"adj.怪诞的,可怕的,不安的,奇异的"
effectuate,"vt.实行,完成"
effeminate,"adj.柔弱的,女人气的,娇气的"
effluent,"n.废水, 污物, 水流; adj.流出的"
effluvia,n.pl.臭气(effluvium的复数形式)
effluvium,"n.臭气,恶臭,放出,[无]无声放电"
effulgent,adj.光辉灿烂的
effusion,"n.流出物,泻出,[医]渗出"
effusive,"adj.感情横溢的,流出的"
elaboration,"n.苦心经营,苦心经营的结果,详尽的细节"
élan,n.活力
elk,n.麋；驼鹿；软鞣粗皮
emanate,"vi.散发,发出,发源vt.[罕]发散,放射"
emasculate,"vt.阉割,使柔弱,删削,使无力adj.阉割了的,柔弱的"
emblazon,"vt.用纹章装饰,颂扬,盛饰"
embolism,n.闰日；血管阻塞；栓塞
emboss,"vt.饰以浮饰,使浮雕出来"
embroil,"vt.使卷入,牵连,使纠缠"
emend,"vt.修订,校勘"
emetic,n.[医]催吐剂adj.引起呕吐的
emollient,"adj.使柔软的n.[药]润肤剂,缓和剂"
emolument,"n.薪水,报酬"
emulous,adj.好胜
enclave,n.被包围的领土
encomium,"n.赞辞,赞美,称赞"
endive,n.菊苣；荷兰莴苣
endocrinologist,[医] 内分泌学家
enduring,"adj.持久的,不朽的"
enema,n.灌肠剂；灌肠
engross,"vt.用大字体书写,吸引,占用,使全神贯注,独占"
enjoin,"vt.吩咐,命令,嘱咐,<主美>禁止"
enliven,"vt.使生气的,使活泼,使生动"
enmity,"n.敌意,憎恨"
enrapture,vt.使狂喜
ensconce,"vt.隐藏,安置"
entendre,n. 双关语
epicure,"n.美食家,老饕,<古>享乐主义者"
epicurean,"adj.伊壁鸠鲁的,贪口福的,享乐主义的n.信奉伊比鸠鲁学说者,享乐主义者,美食家"
epigram,"n.警句,讽刺短诗"
epistemologist,
epitaph,n.墓志铭
equable,"adj.变动小的,平静的"
equine,"adj.马的,象马的n.马"
equitable,"adj.公平的,公正的,平衡法的"
ergo,"adv.因此,由是"
errant,"adj.周游的,不定的,错误的"
erratic,"adj.无确定路线,不稳定的,奇怪的n.古怪的人,漂泊无定的人"
escapade,
estimable,"adj.可尊敬的,可估计的,<古>可贵的,有价值的"
ethos,"n.气质,道义,民族精神,社会思潮,风气"
eviscerate,"vt.取出内脏,除去精华,除去主要部分vi.凸出"
exacting,"adj.苛求的,严格的,吃力的,需付出极大耐心"
exchequer,"n.[英史]财物署,国库,财源,财政部"
execrable,"adj.该咒的,可憎恨的,讨厌的,恶劣的,坏透的"
execrate,"vt.痛骂,憎恨,憎恶,诅咒vi.诅咒"
exegesis,"n.注释,解释"
exigency,"n.苛求,紧急,紧急事件"
exigent,"adj.紧急的,迫切的,苛求的,要求很高的"
expatiate,"vi.详述,细说"
expiate,"vt.补偿,赎vi.赎罪"
explicate,v.说明
extraneous,"adj.无关系的,外来的,[化]外部裂化,[化]新异反射"
extricate,
extrude,"v.挤压出,挤压成,突出,伸出,逐出"
exult,"vi.非常高兴,欢跃"
facetious,"adj.幽默的,滑稽的,喜开玩笑的"
factitious,"adj.人为的,做作的,不自然的"
fag,n.(尤英）苦工；苦差事
falter,"vt.支吾地说,结巴地讲出vi.支吾,蹒跚踉跄,摇摆,(声音)颤抖n.颤抖,支吾,踌躇"
fanfare,"n.喇叭或号角嘹亮的吹奏声,吹牛"
fatuity,"n.愚昧,昏庸,愚蠢的言行"
fatuous,"adj.愚昧的,昏庸的,发呆的,愚笨的,自满的"
fauna,"n.动物群,动物区系,动物志"
fecund,"adj.生殖力旺盛的,多产的,丰饶的,肥沃的"
fecundity,"n.多产,丰饶,肥沃,[动]产卵力,生育力,[植]结实性"
felicitous,"adj.(措辞等)恰当的,巧妙的,极为适当的,可喜的,善于措词的,[罕]幸福的,快乐的"
felicity,"n.幸福,幸运,福气,(措辞等)恰当,巧妙,幸福,幸运"
feral,"adj.野生的,未驯服的,凶猛的,野兽的"
fern,n.羊齿植物；蕨
ferocious,"adj.凶恶的,残忍的,凶猛的,<口>十分强烈的,极度的"
ferret,"n.白鼬,雪貂,侦探,细带vt.用雪貂打猎,追赶,搜出,驱出vi.用雪豹狩猎,搜索"
fervent,adj.炽热的
fervid,"adj.热的,热心的"
fester,"n.脓疮vi.溃烂,化脓vt.使烦恼,使溃烂"
fete,"n.庆祝,祭祀,节日vt.宴请,招待,给予...巨大的荣誉"
filial,"adj.子女的,孝顺的,当做子女的"
finicky,"adj.过分注意的,过分讲究的,过分周到的"
firebrand,"n.火把,燃烧的木柴,放火者,煽动叛乱者"
flab,n.松弛的肌肉
flabby,adj.软弱的；松弛的；没气力的；不稳的
flaccid,adj.软弱的；没气力的；无活力的
flair,"n.才能,本领"
flashy,adj.浮华的
flaunt,"n.招展,招摇,炫耀,飘扬v.挥动,夸耀,炫耀,飘扬"
flay,"vt.剥皮,去皮,抢夺,严厉批评"
fleck,"n.(皮肤的)斑点,雀斑,斑纹,微粒vt.使起斑点,使有斑纹,使有斑驳"
flighty,"adj.忽发奇想的,反复无常的,轻浮的,轻狂的,心情浮动的"
flinch,"vi.畏缩,退缩,畏首畏尾n.退缩,畏缩"
flippancy,"n. 无礼, 言语尖刻"
floe,"n.大浮冰,浮殡冰块"
flop,v.啪嗒啪嗒地动；笨重地摔；猛落；<口>失败
flounder,"vi.(在水中)挣扎,困难地往前走,踌躇,发慌n.挣扎,辗转,比目鱼"
flue,n.烟道；暖气管
fluster,"n.慌乱,狼狈,混乱,激动vt.使酩醉,使慌张,使激动vi.慌慌张张的行动,混乱"
flutter,"n.摆动,鼓翼,烦扰vi.鼓翼,飘动,悸动,乱跳,烦扰vt.拍(翅),使焦急"
flux,"n.涨潮,变迁,[物]流量,通量vi.熔化,流出vt.使熔融,用焊剂处理"
foil,"n.箔,金属薄片,[建]叶形片,烘托,衬托vt.衬托,阻止,挡开,挫败,贴箔于"
foist,"vt.偷偷插入,使混入,硬卖给,私自添加,把...强加(于),把...塞(给)"
forebears,
forlorn,adj.被遗弃的
fornication,n.通奸；乱伦；婚外性行为
forswear,v.放弃
fortuitous,"adj.偶然的,幸运的"
foundling,n.弃儿；拾来的孩儿
fracas,n.喧噪；吵闹；纷扰
fray,"n.冲突,打架,争论,(织物等)磨损处vt.使磨损vi.被磨损"
frazzle,v.磨损；使磨破；破烂
frig,n.冰箱；冷冻机；冷藏库
frisky,adj.活泼的；快活的；有性要求的
fuddle,"vt.灌醉,使迷糊,使烂醉vi.狂饮n.烂醉"
fudge,n.软糖；胡言
fulsome,"adj.过度的,令人生厌的,过分的"
fussbudget,n. 大惊小怪的人
fusty,"adj.旧式的,霉臭的,陈腐的,古板的"
fuzz,n.<非正式> 细毛；绒毛；警员
gabble,"v.急促而不清楚地说, 喋喋不休地讲 ; n.急促讲出而叫人听不清说的话"
gadabout,"n. 游荡的, 漫步的"
gaga,adj.<美俗> 糊涂的；狂热的
gaggle,n.鹅群；一群(喧哗的人)
gainful,"a. 有利益的, 唯利是图的"
gainsay,v.否认
gala,n.节日；祝贺；盛会
galley,"n.狭长船,大型划船,船上厨房,(印刷用的)长方活字盘,军舰"
galling,"adj. 使烦恼的, 使焦躁的, 难堪的"
gallivant,vi.与异性闲荡或闲逛；同异性调情；闲逛
gambit,"n.以优势的开局棋法,话题,开始"
gangrene,"n.坏疽,腐败堕落的vi.生坏疽,腐败vt.使生坏疽"
garbled,
garner,v.储存
gauche,"adj.笨拙的,粗鲁的,偏转的,无礼的"
gaudy,adj.华而不实的
gawk,n.呆子v.呆呆地看着
gawky,"adj.迟钝的,笨拙的"
gee,int.吆喝马的用语；惊讶时所发声音
gee whiz,int.(表示对意外的惊讶和感叹)咦；哇
geezer,n.古怪的老头
gelatinous,adj.凝胶状的
